id,imdb_id,status,adult,video,title,original_title,original_language,overview,tagline,keywords,watch_providers,genres,production_companies,production_countries,spoken_languages,budget,revenue,runtime,popularity,vote_average,vote_count,release_date,belongs_to_collection,overview_en
13223,tt1205489,Released,False,False,Gran Torino,Gran Torino,en,"Walt Kowalski é um inflexível veterano da Guerra da Coréia, agora aposentado. Para passar o tempo ele faz consertos, bebe cerveja e vai mensalmente ao barbeiro. Sua vida é alterada quando passa a ter como vizinhos imigrantes hmong, vindos do Laos. Ressentido e desconfiando de todos, Walt apenas deseja passar o tempo que lhe resta de vida. Até que Thao, seu tímido vizinho adolescente, é obrigado por uma gangue a roubar o carro do veterano, um Gran Torino retirado da linha de montagem pelo próprio.",Você já encontrou alguém com quem não deveria ter mexido?,"rape, war veteran, gangster, immigration, old man, priest, gang, detroit, michigan, widower, hmong, inspirational, excited","HBO Max, HBO Max Amazon Channel",Drama,"Matten Productions, Double Nickel Entertainment, Gerber Pictures, Malpaso Productions, Village Roadshow Pictures, WV Films IV, Warner Bros. Pictures","United States of America, Germany",English,33000000,270000000,116,6.4371,7.987,11399,2008-12-12,,"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino."
339877,tt3262342,Released,False,False,"Com Amor, Van Gogh",Loving Vincent,en,"Um ano após o suicídio de Vincent Van Gogh, Armand Roulin encontra uma carta por ele enviada ao irmão Theo, que jamais chegou ao seu destino. Após conversar com o pai, carteiro que era amigo pessoal de Van Gogh, Armand é incentivado a entregar ele mesmo a correspondência. Desta forma, ele parte para a cidade francesa de Arles na esperança de encontrar algum contato com a família do pintor falecido. Lá, inicia uma investigação junto às pessoas que conheceram Van Gogh, no intuito de decifrar se ele realmente se matou.",,"artist, investigation, grave, letter, melancholy, painter, bullying, adult animation, struggling artist, mysterious, 19th century, thoughtful, mysterious death, somber, controversial artist, lyrical, introspective, wistful, dramatic, compassionate, tragic","Amazon Prime Video, Looke, Looke Amazon Channel, Reserva Imovision, Reserva Imovision Amazon Channel, Amazon Prime Video with Ads","Animação, Drama, História","Breakthru Films, Trademark Films, RBF Productions, Odra-Film, Centrum Technologii Audiowizualnych","Poland, United Kingdom, Netherlands",Polski,5500000,42187665,94,5.3504,7.986,2581,2017-06-22,,A young man arrives at the last hometown of painter Vincent van Gogh to deliver the troubled artist's final letter and ends up investigating his final days there.
780,tt0019254,Released,False,False,O Martírio de Joana D'Arc,La Passion de Jeanne d'Arc,fr,"França, século XV, Joana de Domrémy, filha do povo, resiste bravamente a ocupação de seu país. É presa, humilhada, torturada e interrogada de maneira impiedosa por um tribunal eclesiástico, que a levou, involuntariamente, a blasfemar.",Um Clássico que Viverá para Sempre!,"suffering, court case, judge, sentence, woman martyr, heresy, trial, religion, torture chamber, black and white, saint, martyrdom, dove, silent film, catholicism, martyr, joan of arc, forgery, judiciary, 15th century, burning at stake, holy communion, bloodletting, inspirational, jeanne d'arc","Belas Artes à La Carte, Telecine Amazon Channel","Drama, História",Société générale des films,France,No Language,0,18121,110,2.8678,8.0,1069,1928-04-21,,"A classic of the silent age, this film tells the story of the doomed but ultimately canonized 15th-century teenage warrior. On trial for claiming she'd spoken to God, Jeanne d'Arc is subjected to inhumane treatment and scare tactics at the hands of church court officials. Initially bullied into changing her story, Jeanne eventually opts for what she sees as the truth. Her punishment, a famously brutal execution, earns her perpetual martyrdom."
11658,tt0386064,Released,False,False,A Irmandade da Guerra,태극기 휘날리며,ko,"Jin-tae, um sapateiro, trabalha incansavelmente para poder pagar a faculdade de seu irmão mais novo Jin-seok, entretanto, seus desejos e sonhos são colocados de lado quando os dois são forçados a entrar no exército contra suas vontades. No momento crucial da batalha, o destino intervém, forçando seus laços de fé, amor e confiança a serem testados diversas vezes.","Um país, uma família… dividida pela guerra.","brotherhood, korean war (1950-53), archaeologist, air raid, pyre, brother brother relationship, korean army, south korea, inter-korean relations",,"Ação, Aventura, Drama, História, Guerra","Kang Je-gyu Films, KD Media, Seoul Broadcasting System, Tooniverse, Destination Films, Samuel Goldwyn Films, Showbox","South Korea, United States of America",한국어/조선말,1500000,0,148,2.3791,7.985,754,2004-02-05,,"When two brothers are forced to fight in the Korean War, the elder decides to take the riskiest missions if it will help shield the younger from battle."
568160,tt9426210,Released,False,False,O Tempo com Você,天気の子,ja,"O estudante Hodaka foge de sua casa em uma ilha periférica e se muda para Tóquio, onde faz amizade com Hina. Ela tem um poder que deixa Hodaka impressionado: Hina pode controlar o clima",,"japan, magic, climate change, rain, surrealism, weather, weather manipulation, romance, slice of life, tokyo, japan, orphan, summer, shrine, flood, japanese mythology, anime, time skip, supernatural power, comforting",,"Animação, Drama, Fantasia, Romance","CoMix Wave Films, Story, TOHO, KADOKAWA, jeki, Lawson Entertainment, ""Weathering With You"" Film Partners",Japan,日本語,11100000,192729404,114,9.7036,7.983,2576,2019-07-19,,"The summer of his high school freshman year, Hodaka runs away from his remote island home to Tokyo, and quickly finds himself pushed to his financial and personal limits. The weather is unusually gloomy and rainy every day, as if taking its cue from his life. After many days of solitude, he finally finds work as a freelance writer for a mysterious occult magazine. Then, one day, Hodaka meets Hina on a busy street corner. This bright and strong-willed girl possesses a strange and wonderful ability: the power to stop the rain and clear the sky."
455661,tt6969946,Released,False,False,Num piscar de Olhos,In a Heartbeat,en,"Um jovem estudante se vê obrigado a sair do armário pelo seu próprio coração que, literalmente, sai do peito para correr em busca do menino dos seus sonhos. Ansiosos?",,"love, lgbt, lgbt teen, gay theme, short film",,"Animação, Romance, Comédia",Ringling College of Art + Design,United States of America,No Language,0,0,4,1.0274,7.982,1016,2017-06-01,,A closeted boy runs the risk of being outed by his own heart after it pops out of his chest to chase down the boy of his dreams.
449176,tt5164432,Released,False,False,"Com Amor, Simon","Love, Simon",en,"Aos 17 anos, Simon Spier aparentemente leva uma vida comum, mas sofre por esconder um grande segredo: nunca revelou ser gay para sua família e amigos. E tudo fica mais complicado quando ele se apaixona por um dos colegas de escola, anônimo, com quem troca confidências diariamente via internet.",Todo mundo merece uma grande história de amor.,"coming out, sexual identity, high school, based on novel or book, sexuality, class, coming of age, bully, love, teen movie, male homosexuality, lgbt, lgbt teen, based on young adult novel, gay theme, boys' love (bl), appreciative",Disney Plus,"Comédia, Drama, Romance","Temple Hill Entertainment, Fox 2000 Pictures, New Leaf Literary & Media, 20th Century Fox, Twisted Media",United States of America,English,17000000,66316289,110,4.2144,7.98,6215,2018-02-16,,"Everyone deserves a great love story, but for 17-year-old Simon Spier, it's a little more complicated. He hasn't told his family or friends that he's gay, and he doesn't know the identity of the anonymous classmate that he's fallen for online."
1059,tt0051808,Released,False,False,A Fortaleza Escondida,隠し砦の三悪人,ja,"No Japão feudal, durante uma guerra sangrenta entre clãs, dois camponeses covardes e gananciosos, soldados de um exército derrotado, encontram um homem misterioso que os guia até uma fortaleza escondida nas montanhas.",O que você faz com a bondade de outra pessoa depende de você.,"japan, male friendship, jidaigeki, sengoku period, feudal japan, 16th century, mountain fortress",,"Drama, Ação, Aventura",TOHO,Japan,日本語,0,57673,139,2.9509,8.0,686,1958-12-28,,"In feudal Japan, during a bloody war between clans, two cowardly and greedy peasants, soldiers of a defeated army, stumble upon a mysterious man who guides them to a fortress hidden in the mountains."
11778,tt0077416,Released,False,False,O Franco Atirador,The Deer Hunter,en,"Um grupo de amigos da classe trabalhadora decide alistar-se no exército durante a Guerra do Vietnam e descobrem que é um caos infernal - não a nobre aventura que imaginavam. Antes de partirem, Steven casou-se com a namorada grávida - e Michael e Nick estavam apaixonados pela mesma mulher. Mas os três são homens diferentes quando regressam.",Deus Abençoe a América.,"vietnam war, vietnam veteran, small town, suicide, vietnam, post-traumatic stress disorder (ptsd), escape, pennsylvania, usa, saigon, friends, russian roulette, wedding, deer hunting, steel worker, anti war, revolver, drunkenness, viet cong, romantic triangle, complex, friends love same woman, prisoner of war camp, slavic american",,"Drama, Guerra","Universal Pictures, EMI Films","United Kingdom, United States of America","English, Français, Pусский, Tiếng Việt",15000000,49000000,182,5.914,7.979,4172,1978-12-08,,"Three steelworkers enlist in the army and are sent to Vietnam, one leaving behind a rushed marriage, the others a shared love. What they encounter during the war changes their lives forever."
2517,tt0408664,Released,False,False,Ninguém Pode Saber,誰も知らない,ja,"Em um pequeno apartamento em Tóquio, Akira, de 12 anos, precisa cuidar de seus irmãos mais novos depois que a mãe os abandona e não dá sinais de que voltará.",,"japan, sibling relationship, season, loss of loved one, family relationships, tokyo, japan, mother child separation, grim, kids on their own, depressed, depressing, admiring, powerful, toxic parents",Reserva Imovision Amazon Channel,Drama,"Engine Film, c-style, Bandai Visual, TV Man Union, Cinequanon",Japan,日本語,0,0,141,5.3069,7.978,624,2004-08-07,,"In a small Tokyo apartment, twelve-year-old Akira must care for his younger siblings after their mother leaves them and shows no sign of returning."
